frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
178374;1569161300.659874;121.57.230.233;44802;53;0x000024f8;1;1207020985.0;149850433;0x00000002;2191;0
178389;1569161300.807627;36.32.3.208;32994;52;0x0000405b;1;1207014068.0;2405225199;0x00000002;2192;0
230724;1569161743.5262969;121.57.226.108;37618;53;0x00008a56;1;1207124748.0;1725417818;0x00000002;2751;0
230755;1569161743.661647;121.57.226.108;37662;53;0x0000899e;1;1207124782.0;1683475120;0x00000002;2752;0
269230;1569162240.980887;117.14.148.118;55682;53;0x0000ceb2;1;1207256071.0;559910333;0x00000002;3540;0
270631;1569162312.097472;223.166.75.30;50160;55;0x0000efee;1;1207287451.0;4167324021;0x00000002;3582;0
322166;1569162822.267721;122.96.29.111;34360;52;0x00008c45;1;1207394431.0;3553356858;0x00000002;4252;0
322172;1569162822.414488;122.96.29.111;34450;53;0x0000b55f;1;1207394468.0;3878671867;0x00000002;4253;0
358017;1569163163.686308;110.177.72.250;48602;53;0x0000b8ec;1;1207486744.0;1143960052;0x00000002;4882;0
391565;1569163602.681066;171.34.179.70;58284;52;0x000011e3;1;1207596347.0;2774033624;0x00000002;5487;0
391571;1569163602.848708;113.128.105.10;48564;53;0x000014ce;1;1207587768.0;3629729654;0x00000002;5488;0
9752;1569163915.1001477;123.145.29.201;45658;53;0x0000d107;1;1207667629.0;2332318378;0x00000002;336;0
9758;1569163915.329368;123.145.29.201;45777;53;0x00006c4b;1;1207667686.0;3101026221;0x00000002;337;0
13123;1569164012.9075732;221.234.226.67;40952;53;0x00003c43;1;1207690281.0;1931597930;0x00000002;396;0
13132;1569164013.049898;175.152.111.160;56686;53;0x0000889d;1;1207698938.0;2389609831;0x00000002;397;0
42552;1569164214.769237;106.45.0.174;58980;53;0x00002f4d;1;1207749378.0;3646284879;0x00000002;795;0
42558;1569164214.887487;106.45.0.174;59048;53;0x0000a687;1;1207749407.0;4219628952;0x00000002;796;0
54798;1569164435.3458312;110.80.154.33;57432;53;0x00005616;1;1207795882.0;2469713596;0x00000002;1057;0
54804;1569164435.52687;110.80.154.33;57516;53;0x00004ec0;1;1207795928.0;1531629080;0x00000002;1058;0
54852;1569164446.66371;110.80.154.33;34456;52;0x0000268d;1;1207798712.0;3610094901;0x00000002;1062;0
54859;1569164446.8592691;183.184.235.39;35866;55;0x00004316;1;1207807426.0;3191795412;0x00000002;1063;0
94551;1569164909.6402311;123.191.129.241;54558;52;0x00004a73;1;1207914462.0;193594797;0x00000002;1769;0
94557;1569164909.736883;123.191.129.241;54592;52;0x00004534;1;1207914486.0;2448165570;0x00000002;1770;0
158720;1569165445.921272;1.202.112.206;2129;55;0x0000277f;1;834940609.0;959973822;0x00000002;2465;0
