host,asn,asname,cc,registry
119.39.47.252,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.90.55.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.228.154,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.7.120,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.248.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.13.6.117,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.224.136.46,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.213.75.158,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
114.221.125.37,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.248.203.147,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
113.58.243.206,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.184,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.13.6.75,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.87,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
60.177.181.162,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.80.136.169,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.128.105.141,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.4.217.19,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
101.249.56.88,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.105.100,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.232.227.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.66,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
117.15.91.14,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.9.246,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.224.136.4,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.80.1.81,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.75.254,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
124.235.138.161,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.117.17.85,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.182,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.250.62.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.241,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.39.46.249,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
1.202.114.95,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,apnic
36.248.88.109,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.162.111,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.177.93,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.224.138,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.166.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.47,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
123.145.5.187,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.94.140.113,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.75.190,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
182.138.137.253,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.164.186,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.116.44.43,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.29.49,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.128.104.86,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.160.175.119,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.46.233,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.90.51.150,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
116.252.0.200,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.191.137.71,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
118.81.3.79,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.43.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.250.62.110,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
211.97.20.183,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
123.160.174.8,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
36.32.3.228,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
58.248.202.15,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
175.152.109.185,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.85.118,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
58.248.200.248,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
222.94.140.241,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.136.27,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.162.140.157,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.165.103,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
114.221.124.68,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.27.51.30,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.235.138.176,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.137.226,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.235.154,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.88.232.140,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.46.98,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.249.100.26,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
180.95.238.254,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.39.47.208,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.0.23.155,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.224.136.100,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.96.104.201,AS58563,"CHINATELECOM-HUBEI-IDC CHINANET Hubei province network, CN",CN,apnic
220.200.166.222,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.162.157.254,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.158.49.129,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.191.138.114,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.37.206.72,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.3.250,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.158.60.78,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.88.113.251,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.231.254,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.58.237.102,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.73.35,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.79.49.146,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.249.99.174,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
106.45.1.239,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.46.188,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
58.249.99.164,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
182.138.158.128,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.137.50,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
180.95.231.193,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.20.172,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.76.33,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.137.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.34.177.161,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
117.14.157.59,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.190,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
106.45.1.193,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.88.113.169,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
218.58.36.94,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.73.25,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.21.36,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.234.238.78,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
222.82.53.87,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.248.202.160,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
221.232.22.213,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.216.140.27,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.184.165.75,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.118.1.37,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.13.12.194,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.160.174.56,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
150.255.0.180,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.39.47.77,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.36.130.104,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.250.11.193,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.250.62.195,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
180.95.238.223,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.112.86.193,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.0.17.172,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.211.187.29,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.229.182,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.88.78.160,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
211.97.18.255,AS17816,"CHINA169-GZ China Unicom IP network China169 Guangdong province, CN",CN,apnic
175.152.31.4,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.56,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.160.236.128,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.13.7.229,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.94.140.229,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.140.248.89,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.157.192.100,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.120.159.88,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.80.138.253,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
36.32.3.44,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
219.140.116.168,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.2.137,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.152.31.190,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.191.130.231,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.52.92,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.166,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.208.209.236,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.37.207.232,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.59.191,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.80.155.173,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.191.157.53,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.12.10.118,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.202.114.158,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,apnic
58.249.100.65,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
124.235.138.36,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.34.176.101,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.157.192.143,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.138.162.255,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.144.30.175,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.214,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
222.82.51.73,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.235.138.199,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.147,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.234.225.124,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.193.171.175,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.13.6.201,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.83.161,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.209,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.105.148,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
121.57.227.151,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.0.216,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.200.4.177,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
114.221.126.249,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.193.169.28,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.138.214.206,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
106.45.1.83,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.120.151.253,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.158.49.134,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
183.191.31.44,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
139.210.239.173,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.184.167.236,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.118.4.53,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.206.177.155,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.128.105.203,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.66.97.206,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.158.14,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.208.164.114,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.206.199.18,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
116.54.98.164,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.156.202,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.62.51,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.47.13,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.118.3.110,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
106.45.1.131,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.248.200.246,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
119.39.47.119,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.157.25,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.79.48.123,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
114.221.124.11,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
150.255.6.113,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.74.103,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
36.32.3.239,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.77.253,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.66.105.72,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.66.101.121,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.74.48,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
124.225.40.121,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.234.239.169,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.206.197.128,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.88.113.74,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.144.25.199,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.80.136.148,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
218.72.50.198,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
180.95.231.60,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
27.211.56.219,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
106.45.1.121,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
115.198.202.254,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
180.95.238.84,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
180.95.238.131,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.58.225.15,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.13.12.87,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.138.162.75,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.163.10,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.152.110.113,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.206.178.82,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.96.104.81,AS58563,"CHINATELECOM-HUBEI-IDC CHINANET Hubei province network, CN",CN,apnic
222.82.61.149,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.167.193,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.156.174,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.25.16,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.254,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.224.7.1,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.158.108,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.75.113,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
111.224.234.14,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
121.57.226.143,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.137.29,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.234.78,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.38,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.234.227.99,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.166.207,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.163.114.166,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.80.138.201,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.235.138.85,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.235.138.219,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
180.95.238.203,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
36.32.3.61,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.8.184,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.13.7.44,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.224.249.155,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
122.96.128.110,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.167.94.56,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.31.115.39,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.155.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.175.57.176,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.225.47.81,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.160.246,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.230.152,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.0.22.96,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.66.102.134,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
1.202.112.205,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,apnic
123.160.234.254,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.213.75.82,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.117.113.100,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.167.181,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.153.95,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.162.44,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.0.22.97,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.2.102,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.66,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.79.48.38,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.0.22,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
60.216.142.141,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
