host,asn,asname,cc,registry
36.32.3.41,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.44.23,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.116,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.137.221,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.96.104.131,AS58563,"CHINATELECOM-HUBEI-IDC CHINANET Hubei province network, CN",CN,apnic
123.160.232.51,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.160.172.122,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.165.160,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.224.235.232,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.136.123,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.177.75.9,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
114.221.124.3,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.188.66.227,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.116.42.97,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.224.234.251,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
118.81.224.185,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
117.15.94.244,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.229.29,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.159.246,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
117.14.154.123,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
36.32.3.178,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.58.229.247,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.85.29,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.2.7,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.142,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.13.27,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.177.129,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.186.109.19,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
122.96.128.203,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.219.149.109,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.48.106,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
118.81.225.93,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.118.3.67,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
223.166.74.115,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
118.81.11.127,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
117.14.112.212,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.235.138.101,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.74.231,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
114.221.125.103,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.118.28.180,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.160.234.111,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.58.242.93,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.42.1.122,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.89.119.9,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
125.120.61.220,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
36.248.61.189,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.179.213,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.245.7.99,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.249.102.128,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
113.58.246.174,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
60.216.137.146,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.160.175.104,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.90.53.209,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
211.97.20.86,AS17816,"CHINA169-GZ China Unicom IP network China169 Guangdong province, CN",CN,apnic
150.255.87.98,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.179.117,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.39.47.66,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.158.60.48,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.61.105,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.141,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.37,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
125.36.254.224,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.82.52.230,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.177.73.192,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
222.94.163.22,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
124.235.138.30,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.66.100.218,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.177.75.168,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
111.224.235.163,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.13.12.97,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.235.138.131,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
221.234.237.7,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.163.114.33,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.215.124,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
117.14.150.33,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.159.53,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.79.224,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.58.233.185,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.66.98.224,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.117.103.17,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
